order_id,to_place,to_county,city,country,img,link_exam_id,src_id,lat,lng,place_add,place,county,src,problem
WCCDRV36900_0344,St Mary Abchurch,London,,England,WCCDRV369000142,WCCDEP358120262,ID_30121,51.5116100305363,-0.0883309847038141,,st mary abchurch,middlesex,llp,
WCCDRV36900_0347,St Andrew Holborn,London,,England,WCCDRV369000143,WCCDEP358120289,ID_127848,51.5203233068248,-0.11395076765732,,st andrew holborn,middlesex,llp,
WCCDRV36900_0346,St Bride,London,,England,WCCDRV369000143,WCCDEP358120277,ID_30049,51.5139217583598,-0.106051351442049,,st bride,middlesex,llp,
WCCDRV36900_0351,St Botolph Aldgate,London,,England,WCCDRV369000144,WCCDEP358120322,ID_30153,51.5103622728893,-0.0732646492732113,,st botolph aldgate,middlesex,llp,
WCCDRV36900_0349,St Martin in the Fields,London,Westminster,England,WCCDRV369000144,WCCDEP358120311,ID_30034,51.5066196410971,-0.132157327910045,,st martin in the fields,middlesex,llp,
WCCDRV36900_0350,St Martin in the Fields,London,Westminster,England,WCCDRV369000144,WCCDEP358120315,ID_30034,51.5066196410971,-0.132157327910045,,st martin in the fields,middlesex,llp,
WCCDRV36900_0352,St George the Martyr,London,,England,WCCDRV369000145,WCCDEP358120323,ID_30187,51.5207398387893,-0.120148642877833,,st george the martyr,middlesex,llp,
WCCDRV36900_0353,St Giles in the Fields,London,Westminster,England,WCCDRV369000145,WCCDEP358120327,ID_30018,51.5169229110386,-0.125288773439343,,st giles in the fields,middlesex,llp,
WCCDRV36900_0354,St Martin in the Fields,London,Westminster,England,WCCDRV369000145,WCCDEP358120328,ID_30034,51.5066196410971,-0.132157327910045,,st martin in the fields,middlesex,llp,
WCCDRV36900_0360,St Pancras Middlesex,London,,England,WCCDRV369000147,WCCDEP358130076,ID_127871,51.5265171041215,-0.131657497186396,,st pancras middlesex,middlesex,llp,
WCCDRV36900_364b,St John Horselydown,Surrey,Southwark,England,WCCDRV369000149,WCCDEP358130088,ID_30003,51.5031132221463,-0.0764270774695373,,st john horselydown,surrey,llp,
